Foundation,Layer,Feature_ID,Cosine_Similarity,Rank_in_Layer
fairness,28,89889,0.123126544,9
fairness,28,45039,0.12238258,10
fairness,4,94908,0.119143434,10
fairness,16,47141,0.11816723,7
fairness,16,11397,0.1178732,8
fairness,16,29355,0.1166399,9
fairness,16,1216,0.11602549,10
fairness,12,19296,0.1154183,6
fairness,12,23039,0.11333549,7
fairness,12,110671,0.11223312,8
fairness,12,106227,0.11178753,9
fairness,12,42941,0.111232795,10
loyalty,24,130444,0.34083593,1
loyalty,4,128210,0.29757786,1
loyalty,4,34088,0.2800439,2
loyalty,28,102768,0.22927438,1
loyalty,28,15686,0.21994206,2
loyalty,4,86469,0.1842412,3
loyalty,8,108458,0.17993274,1
loyalty,28,93707,0.17244758,3
loyalty,20,47891,0.16702884,1
loyalty,28,2677,0.16641007,4
loyalty,24,16083,0.1607101,2
loyalty,24,3088,0.16018617,3
loyalty,8,116630,0.15882611,2
loyalty,24,27957,0.15855466,4
loyalty,12,64977,0.1538804,1
loyalty,24,60921,0.15260658,5
loyalty,24,76168,0.15223804,6
loyalty,16,76670,0.15161811,1
loyalty,16,29355,0.15032218,2
loyalty,4,75601,0.14880285,4
loyalty,16,48619,0.14822997,3
loyalty,16,81053,0.14727753,4
loyalty,12,122251,0.14711383,2
loyalty,20,125220,0.14667793,2
loyalty,28,89889,0.14614075,5
loyalty,24,118460,0.1458053,7
loyalty,16,79020,0.1434096,5
loyalty,16,38221,0.14203522,6
loyalty,8,22055,0.14170271,3
loyalty,16,11397,0.14104381,7
loyalty,8,126166,0.14102495,4
loyalty,12,23039,0.14095515,3
loyalty,28,108125,0.14084333,6
loyalty,28,114000,0.13980722,7
loyalty,4,15617,0.13894212,5
loyalty,16,47651,0.13879466,8
loyalty,16,69597,0.13855922,9
loyalty,16,14272,0.13746893,10
loyalty,8,39879,0.1370718,5
loyalty,20,73378,0.13437596,3
loyalty,8,103194,0.13413745,6
loyalty,8,75950,0.13381276,7
loyalty,24,369,0.13194372,8
loyalty,20,38823,0.13083816,4
loyalty,12,26159,0.13070244,4
