Foundation,Layer,Feature_ID,Cosine_Similarity,Rank_in_Layer
fairness,12,99572,0.10117848,5
fairness,24,107168,0.10028217,10
fairness,20,28337,0.09933324,10
fairness,8,61385,0.099208474,10
fairness,4,63175,0.09886976,8
fairness,4,108521,0.097916365,9
fairness,12,25172,0.097781375,6
fairness,4,4383,0.09126233,10
fairness,12,18158,0.09077062,7
fairness,12,66520,0.08998075,8
fairness,12,47366,0.08944416,9
fairness,12,64228,0.08636697,10
loyalty,16,122008,0.16704729,1
loyalty,16,10095,0.16389643,2
loyalty,28,106785,0.1629927,1
loyalty,16,66424,0.16004628,3
loyalty,12,8003,0.15136516,1
loyalty,24,91685,0.14435238,1
loyalty,24,64586,0.14285895,2
loyalty,24,59895,0.13587266,3
loyalty,4,63175,0.13381758,1
loyalty,28,106396,0.13340715,2
loyalty,4,8682,0.13186751,2
loyalty,20,6127,0.13168867,1
loyalty,16,103468,0.13120317,4
loyalty,28,23895,0.13039187,3
loyalty,12,25172,0.12940508,2
loyalty,16,33946,0.1292135,5
loyalty,4,103020,0.12769145,3
loyalty,4,50293,0.12709747,4
loyalty,20,46113,0.12707864,2
loyalty,28,78488,0.12344593,4
loyalty,16,22465,0.12241912,6
loyalty,4,39012,0.12151628,5
loyalty,20,49963,0.12106533,3
loyalty,4,50592,0.12068091,6
loyalty,4,47833,0.120217666,7
loyalty,4,20961,0.120180555,8
loyalty,24,17839,0.11983697,4
loyalty,16,40005,0.119255625,7
loyalty,12,338,0.11924844,3
loyalty,12,18158,0.11751266,4
loyalty,16,45924,0.11691207,8
loyalty,8,36562,0.11635906,1
loyalty,28,52046,0.112784296,5
loyalty,28,17489,0.11245528,6
loyalty,4,87558,0.11230971,9
loyalty,28,68352,0.11091881,7
loyalty,12,26778,0.11091018,5
loyalty,16,129823,0.1102565,9
loyalty,16,19914,0.10967906,10
loyalty,24,61066,0.10924056,5
loyalty,24,38091,0.108557925,6
loyalty,24,20681,0.10804679,7
loyalty,12,74074,0.10763992,6
loyalty,20,59465,0.10763016,4
loyalty,8,23953,0.107509784,2
loyalty,20,125143,0.10740442,5
loyalty,12,66520,0.10698057,7
loyalty,24,124005,0.10692877,8
loyalty,4,96957,0.106154375,10
loyalty,28,65989,0.10582394,8
loyalty,12,72532,0.10575737,8
loyalty,24,79688,0.10476695,9
loyalty,12,25392,0.10308417,9
loyalty,8,70939,0.10039042,3
loyalty,28,119015,0.1001109,9
loyalty,20,16984,0.10009857,6
loyalty,28,81518,0.09947166,10
loyalty,20,61443,0.099469066,7
loyalty,20,9990,0.09936029,8
loyalty,24,37802,0.09935552,10
loyalty,12,20784,0.09771615,10
loyalty,20,82758,0.09712349,9
loyalty,20,83561,0.09686957,10
loyalty,8,89248,0.096197106,4
loyalty,8,35014,0.09323711,5
loyalty,8,127519,0.09295799,6
loyalty,8,127400,0.092765644,7
loyalty,8,2886,0.09179326,8
loyalty,8,113454,0.0906357,9
loyalty,8,16184,0.09036821,10
sanctity,16,122008,0.31614262,1
sanctity,16,66424,0.2844884,2
sanctity,20,6127,0.21595034,1
sanctity,20,46113,0.2116684,2
sanctity,16,103468,0.18756899,3
sanctity,24,59895,0.18723252,1
sanctity,12,123331,0.18468608,1
sanctity,28,106785,0.18346326,1
sanctity,16,18957,0.17928451,4
sanctity,4,63175,0.16291296,1
sanctity,16,41465,0.16090393,5
sanctity,20,49963,0.15541628,3
sanctity,12,8003,0.15397933,2
sanctity,28,52046,0.15383926,2
sanctity,20,2272,0.1518528,4
sanctity,16,40904,0.15115191,6
sanctity,12,338,0.15106165,3
sanctity,20,117312,0.15034534,5
sanctity,28,23895,0.14919914,3
sanctity,28,17489,0.14668609,4
sanctity,16,42641,0.14595741,7
sanctity,16,87732,0.14532764,8
sanctity,24,11727,0.14393629,2
sanctity,24,79134,0.14264809,3
sanctity,28,65989,0.14248744,5
sanctity,16,127154,0.1421338,9
sanctity,8,30095,0.14019081,1
sanctity,4,50293,0.1387286,2
sanctity,16,107641,0.1383704,10
sanctity,28,106396,0.13836002,6
sanctity,4,82735,0.13664217,3
sanctity,28,88535,0.13541427,7
sanctity,24,20681,0.1342718,4
sanctity,8,11178,0.13187103,2
sanctity,20,79330,0.12985581,6
sanctity,4,4383,0.12890132,4
sanctity,4,107620,0.12886867,5
sanctity,8,16184,0.12757349,3
sanctity,20,37235,0.12563626,7
sanctity,20,116807,0.12541658,8
sanctity,28,78488,0.123867445,8
sanctity,28,2599,0.12347434,9
sanctity,8,13967,0.122327596,4
sanctity,8,43604,0.12169911,5
sanctity,8,106968,0.119426265,6
sanctity,24,37802,0.11642097,5
sanctity,8,122355,0.116033725,7
sanctity,24,79688,0.116022065,6
sanctity,8,114048,0.11495892,8
sanctity,8,23953,0.11474668,9
sanctity,24,107168,0.1136461,7
sanctity,8,123967,0.11330549,10
sanctity,20,69587,0.11260924,9
sanctity,12,26778,0.11110059,4
sanctity,24,44965,0.11108822,8
sanctity,4,50592,0.110942565,6
sanctity,28,109842,0.1102273,10
sanctity,20,116321,0.10944651,10
sanctity,4,3594,0.10869531,7
sanctity,4,128729,0.10857647,8
sanctity,12,25172,0.10807097,5
sanctity,24,107631,0.106872715,9
sanctity,4,25453,0.10551426,9
sanctity,24,20176,0.10446156,10
sanctity,4,99882,0.09814958,10
sanctity,12,88330,0.09727545,6
sanctity,12,25501,0.09017816,7
sanctity,12,85839,0.08985038,8
sanctity,12,25392,0.08937371,9
sanctity,12,101290,0.08934935,10
